alpha3,alpha2,name,type
bog,,Bamako Sign Language,Living
boh,,Boma,Living
boi,,Barbareño,Extinct
boj,,Anjam,Living
bok,,Bonjo,Living
bol,,Bole,Living
bom,,Berom,Living
bon,,Bine,Living
boo,,Tiemacèwè Bozo,Living
bop,,Bonkiman,Living
boq,,Bogaya,Living
bor,,Borôro,Living
bos,bs,Bosnian,Living
bot,,Bongo,Living
bou,,Bondei,Living
bov,,Tuwuli,Living
bow,,Rema,Extinct
box,,Buamu,Living
boy,,Bodo (Central African Republic),Living
boz,,Tiéyaxo Bozo,Living
bpa,,Daakaka,Living
bpb,,Barbacoas,Extinct
bpd,,Banda-Banda,Living
bpg,,Bonggo,Living
bph,,Botlikh,Living
bpi,,Bagupi,Living
bpj,,Binji,Living
bpk,,Orowe,Living
bpl,,Broome Pearling Lugger Pidgin,Living
bpm,,Biyom,Living
bpn,,Dzao Min,Living
bpo,,Anasi,Living
bpp,,Kaure,Living
bpq,,Banda Malay,Living
bpr,,Koronadal Blaan,Living
bps,,Sarangani Blaan,Living
bpt,,Barrow Point,Extinct
bpu,,Bongu,Living
bpv,,Bian Marind,Living
bpw,,Bo (Papua New Guinea),Living
bpx,,Palya Bareli,Living
bpy,,Bishnupriya,Living
bpz,,Bilba,Living
bqa,,Tchumbuli,Living
bqb,,Bagusa,Living
bqc,,Boko (Benin),Living
bqd,,Bung,Living
bqf,,Baga Kaloum,Extinct
bqg,,Bago-Kusuntu,Living
bqh,,Baima,Living
bqi,,Bakhtiari,Living
bqj,,Bandial,Living
bqk,,Banda-Mbrès,Living
bql,,Bilakura,Living
bqm,,Wumboko,Living
bqn,,Bulgarian Sign Language,Living
bqo,,Balo,Living
bqp,,Busa,Living
bqq,,Biritai,Living
bqr,,Burusu,Living
bqs,,Bosngun,Living
bqt,,Bamukumbit,Living
bqu,,Boguru,Living
bqv,,Koro Wachi,Living
bqw,,Buru (Nigeria),Living
bqx,,Baangi,Living
bqy,,Bengkala Sign Language,Living
bqz,,Bakaka,Living
bra,,Braj,Living
brb,,Lave,Living
brc,,Berbice Creole Dutch,Extinct
brd,,Baraamu,Living
bre,br,Breton,Living
brf,,Bera,Living
brg,,Baure,Living
brh,,Brahui,Living
bri,,Mokpwe,Living
brj,,Bieria,Living
brk,,Birked,Extinct
brl,,Birwa,Living
brm,,Barambu,Living
brn,,Boruca,Living
bro,,Brokkat,Living
brp,,Barapasi,Living
brq,,Breri,Living
brr,,Birao,Living
brs,,Baras,Living
brt,,Bitare,Living
bru,,Eastern Bru,Living
brv,,Western Bru,Living
brw,,Bellari,Living
brx,,Bodo (India),Living
bry,,Burui,Living
brz,,Bilbil,Living
bsa,,Abinomn,Living
bsb,,Brunei Bisaya,Living
bsc,,Bassari,Living
bse,,Wushi,Living
bsf,,Bauchi,Living
bsg,,Bashkardi,Living
bsh,,Kati,Living
bsi,,Bassossi,Living
bsj,,Bangwinji,Living
bsk,,Burushaski,Living
bsl,,Basa-Gumna,Extinct
bsm,,Busami,Living
bsn,,Barasana-Eduria,Living
bso,,Buso,Living
bsp,,Baga Sitemu,Living
bsq,,Bassa,Living
bsr,,Bassa-Kontagora,Living
bss,,Akoose,Living
bst,,Basketo,Living
bsu,,Bahonsuai,Living
bsv,,Baga Sobané,Extinct
bsw,,Baiso,Living
bsx,,Yangkam,Living
bsy,,Sabah Bisaya,Living
